zip,city,state,latitude,longitude,metro_group,source_accuracy,data_quality_flag
75024,PLANO,TX,33.076000,-96.783000,DFW,centroid,REVIEWED
75039,IRVING,TX,32.869000,-96.947000,DFW,centroid,REVIEWED
75050,GRAND PRAIRIE,TX,32.745964,-96.997785,DFW,centroid,REVIEWED
75201,DALLAS,TX,32.787000,-96.799000,DFW,centroid,REVIEWED
76010,ARLINGTON,TX,32.719000,-97.114000,DFW,centroid,REVIEWED
76102,FORT WORTH,TX,32.753000,-97.327000,DFW,centroid,REVIEWED
77002,HOUSTON,TX,29.756000,-95.365000,HOUSTON,centroid,REVIEWED
77449,KATY,TX,29.835000,-95.730000,HOUSTON,centroid,REVIEWED
77478,SUGAR LAND,TX,29.623000,-95.635000,HOUSTON,centroid,REVIEWED
77502,PASADENA,TX,29.676000,-95.197000,HOUSTON,centroid,REVIEWED
77520,BAYTOWN,TX,29.735000,-94.977000,HOUSTON,centroid,REVIEWED
78130,NEW BRAUNFELS,TX,29.703000,-98.125000,SAN_ANTONIO,centroid,REVIEWED
78154,SCHERTZ,TX,29.552000,-98.269000,SAN_ANTONIO,centroid,REVIEWED
78155,SEGUIN,TX,29.569000,-97.965000,SAN_ANTONIO,centroid,REVIEWED
78205,SAN ANTONIO,TX,29.424000,-98.494000,SAN_ANTONIO,centroid,REVIEWED
